,wind_deg,wind_speed,humidity,pressure,temp_max,temp_min,feels_like,dew_point,temp,predicted
3241,834.4188232421875,10.58874797821045,69.94436645507812,1015.6544189453124,6.331392288208008,6.789276123046875,2.6345081329345703,1.1400375366210938,6.362601280212402,1
3242,825.9569702148438,10.533646583557127,69.71002960205078,1015.86669921875,6.217601776123047,6.684652328491211,2.56216812133789,1.0144729614257812,6.237313270568848,1
3243,830.242431640625,10.493030548095703,69.36652374267578,1015.8905639648438,6.228694915771484,6.804203033447266,2.617374420166016,1.0439682006835938,6.341378211975098,1
3244,824.0203247070312,10.39920425415039,68.70832824707031,1016.3735961914062,6.26127815246582,6.731586456298828,2.5943851470947266,0.89215087890625,6.294812202453613,1
3245,826.0775146484375,10.387126922607422,68.04966735839844,1016.6954956054688,6.482536315917969,6.934553146362305,2.801633834838867,0.8236141204833984,6.537047386169434,1
3246,820.7841796875,10.498855590820312,68.8741683959961,1016.6292114257812,6.684812545776367,7.17451286315918,3.107067108154297,1.2413082122802734,6.751055717468262,1
3247,818.3478393554688,10.286937713623049,70.91912841796875,1016.2042846679688,7.062397003173828,7.532478332519531,3.579113006591797,2.0506153106689453,7.095067024230957,1
3248,829.5696411132812,10.47812843322754,69.22822570800781,1015.8687133789062,7.328950881958008,7.813259124755859,3.8395729064941406,1.8792362213134768,7.381062507629394,1
3249,821.1343383789062,10.417858123779297,69.052734375,1016.0235595703124,7.216476440429687,7.711084365844727,3.766159057617188,1.7685203552246094,7.257452964782715,1
3250,825.4733276367188,10.373208045959473,68.77224731445312,1015.986328125,7.229648590087891,7.833379745483398,3.820262908935547,1.8140010833740237,7.363541603088379,1
3251,819.3302612304688,10.276507377624512,68.18073272705078,1016.4051513671876,7.265180587768555,7.763872146606445,3.796314239501953,1.679300308227539,7.319462776184082,1
3252,821.4908447265625,10.262710571289062,67.5919189453125,1016.6602783203124,7.490354537963867,7.970394134521484,4.002908706665039,1.6289558410644531,7.564736366271973,1
3253,816.3238525390625,10.373886108398438,68.48893737792969,1016.5254516601562,7.697608947753906,8.21442985534668,4.308137893676758,2.065881729125977,7.782425880432129,1
3254,814.0355834960938,10.162561416625977,70.60850524902344,1016.0308837890624,8.081287384033203,8.577024459838867,4.780580520629883,2.8954029083251958,8.130816459655762,1
3255,825.4247436523438,10.355473518371582,68.9937744140625,1015.6251220703124,8.355106353759766,8.863035202026367,5.042152404785156,2.745138168334961,8.421963691711426,1
3256,817.17529296875,10.298017501831056,68.8954849243164,1015.7100830078124,8.251113891601562,8.766733169555664,4.970676422119141,2.6563587188720703,8.304312705993652,1
3257,821.71533203125,10.257235527038574,68.6926498413086,1015.6038208007812,8.273979187011719,8.89554214477539,5.027643203735352,2.724498748779297,8.417197227478027,1
3258,815.7869873046875,10.165400505065918,68.17870330810547,1015.955322265625,8.32042121887207,8.833200454711914,5.007568359375,2.61307144165039,8.380770683288574,1
3259,818.1737060546875,10.157419204711914,67.6668701171875,1016.1455078125,8.557701110839844,9.047529220581056,5.219087600708008,2.586505889892578,8.634549140930176,1
3260,813.2421875,10.275286674499512,68.63971710205078,1015.94873046875,8.778215408325195,9.29999542236328,5.530364990234375,3.0475940704345703,8.861594200134277,1
3261,811.1959838867188,10.071462631225586,70.83352661132812,1015.3958740234376,9.176263809204102,9.671607971191406,6.009981155395508,3.90153694152832,9.220160484313965,1
3262,822.8322143554688,10.272602081298828,69.29096984863281,1014.9361572265624,9.46548080444336,9.967193603515623,6.279876708984375,3.775833129882813,9.522263526916504,1
3263,814.8313598632812,10.22401523590088,69.26234436035156,1014.9719848632812,9.377832412719728,9.88095474243164,6.217866897583008,3.711606979370117,9.416302680969238,1
