,wind_deg,wind_speed,humidity,pressure,temp_max,temp_min,feels_like,dew_point,temp,weather_description
3873,110,4.1,89,1016,20.48,18.9,20.27,18.03,19.9,1
3874,220,5.7,51,1022,25.97,23.16,23.99,13.41,24.18,1
3875,190,4.1,60,1022,24.4,23.02,23.77,15.55,23.77,1
3876,130,4.6,87,1018,22.96,20.97,22.55,19.76,22.02,1
3877,180,4.6,82,1012,22.63,21.73,22.57,18.94,22.16,1
3878,310,4.6,39,1014,27.2,24.79,25.21,10.61,25.58,1
3879,170,3.6,65,1015,23.35,22.3,22.89,15.93,22.85,1
3880,200,6.7,74,1012,22.91,21.43,22.29,17.24,22.09,1
3881,360,4.1,46,1015,25.0,22.15,22.97,11.12,23.38,1
3882,290,4.1,30,1015,25.97,22.25,22.74,4.99,23.55,1
3883,190,6.2,98,1010,23.53,22.8,24.07,22.81,23.14,2
3884,0,0.0,95,1010,24.64,18.9,23.69,22.03,22.87,2
3885,310,3.6,42,1017,26.1,23.87,24.2,10.84,24.59,1
3886,220,4.6,54,1018,27.2,24.67,25.69,15.66,25.66,1
3887,200,8.2,79,1008,26.68,25.1,26.61,21.98,25.9,1
3888,270,4.6,42,1009,24.4,22.43,22.43,9.39,22.98,1
3889,90,2.1,72,1013,21.27,18.97,20.49,15.28,20.5,1
3890,350,4.1,45,1020,21.1,19.1,18.97,7.5,19.76,1
3891,130,3.1,64,1025,18.29,17.8,17.66,11.21,18.12,1
3892,70,2.1,87,1026,17.99,17.65,17.96,15.66,17.85,1
3893,80,2.6,81,1027,17.77,16.97,17.46,14.25,17.54,1
3894,80,3.6,83,1022,17.23,16.82,17.01,14.17,17.08,1
3895,120,2.1,64,1012,17.97,16.88,16.98,10.62,17.5,1
3896,320,4.6,40,1011,22.2,19.64,19.51,6.34,20.37,1
3897,330,4.6,35,1019,17.2,15.38,14.75,0.7,16.16,1
3898,140,4.6,59,1023,16.97,16.3,15.86,8.56,16.6,1
3899,270,7.2,89,1008,17.15,15.78,16.45,14.61,16.43,1
3900,210,7.2,61,1010,22.97,20.91,21.72,14.03,21.88,1
3901,200,9.8,78,1008,23.52,22.15,23.18,18.77,22.81,1
3902,60,2.1,100,1012,18.95,17.48,18.65,18.17,18.17,2
3903,210,6.2,65,1012,20.97,17.9,18.49,12.14,18.85,1
3904,290,5.1,52,1019,19.4,17.71,17.55,8.3,18.31,1
